ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
4,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.618997097015381,6795,7.49967616435186e-05,293.15390350330574,1.948332378871763e-144,0.0,1.6320581693045538e-16,4.9186099264322776e+123,True,False,True,True,sin_impulse,NH3,-64189.18918918919,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.0000000042829545e-06,2.0746660716468258e-22,293.15,4.6513008734875575e-133,7.546974682142453e-05,7.973381957356759e-70,1.0517237622328217e-134,-1.0800416901636692e-141,-1.4257835557284534e-133,5.514592679609295e-80,2.12908277546264e-139,2.6737656409315394e-127,1.9401612748008873e-106,7.938372172078153e-118,2.5156582273808035e-05
1,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.942735195159912,6166,7.501767212453215e-05,293.1529908602721,3.2174874120514807e-144,0.0,9.086191653920067e-17,1.658192066215889e+123,True,False,True,True,sin_impulse,NH3,-50000.0,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,9.99999997763672e-07,-1.1080293411846101e-23,293.15,7.681185440992094e-133,7.546974711017248e-05,7.973383484701955e-70,1.1626179269876495e-134,8.100927927142982e-144,-1.5064632324537135e-135,5.5145937570585824e-80,3.46614213687848e-140,3.378832848805118e-127,2.113806998377387e-106,8.648861757541826e-118,2.5156582370057093e-05
3,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.1267199516296387,6343,7.50123047794035e-05,293.1535938950194,3.4316702004733166e-144,0.0,1.356529182516031e-16,2.3210975535114104e+123,True,False,True,True,sin_impulse,NH3,-59459.45945945946,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,9.999999994904842e-07,-1.0481866324016007e-22,293.15,8.192509144519894e-133,7.54697470336894e-05,7.973382539205204e-70,8.64648617099203e-135,2.264961945875923e-141,2.2195291948303594e-133,5.514593097540616e-80,3.860053994381096e-139,2.620652103363054e-127,1.9168117348825198e-106,7.842835094668208e-118,2.5156582344563062e-05
5,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.1500205993652344,6922,7.501199636571842e-05,293.15421954391036,1.4232099966703998e-133,0.0,1.9493401441097828e-16,8.042451253994203e+112,True,False,True,True,sin_impulse,NH3,-68918.91891891892,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.000000001385145e-06,-6.476288283463193e-23,293.15,3.397663576299639e-122,7.546974694977245e-05,7.973381395401213e-70,6.533552867590313e-128,3.0843013421236533e-130,3.3977135466895235e-122,5.5145923003250624e-80,2.1733449585058303e-127,2.353554841086618e-127,1.8996440159249187e-106,7.402298263776397e-118,2.5156582316590588e-05
7,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.2226781845092773,6726,7.500362571076476e-05,293.15487482643016,1.2203148499250203e-143,0.0,2.738507091316121e-16,1.3176855090926157e+123,True,False,True,True,sin_impulse,NH3,-78378.37837837837,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.0000000140605294e-06,-3.917814751672362e-24,293.15,2.913286984523097e-132,7.5469746388363e-05,7.973379934198914e-70,3.653004265642356e-134,1.4883280525953868e-140,2.059538682614368e-132,5.514591248698305e-80,7.885074622372769e-139,3.85036994885359e-127,2.2303807156551813e-106,9.12583527785706e-118,2.5156582129453732e-05
2,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.2813055515289307,6993,7.500591253539373e-05,293.15328991644765,3.129061685836758e-144,0.0,1.1167023155503277e-16,2.0955261661187817e+123,True,False,True,True,sin_impulse,NH3,-54729.72972972973,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.0000000089769466e-06,-1.1502050659855424e-22,293.15,7.470084316930044e-133,7.546974661352111e-05,7.973382938498027e-70,4.651465555157403e-135,2.3720193465807543e-141,1.421896763261244e-133,5.514593342999854e-80,-6.400989244916714e-140,2.6358967746038364e-127,1.916497596010257e-106,7.841549762715869e-118,2.515658220450721e-05
8,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.3263888359069824,7140,7.500813726912269e-05,293.15521645055276,1.1691877359241392e-141,0.0,3.2311243683105167e-16,1.622703674849453e+121,True,False,True,True,sin_impulse,NH3,-83108.10810810812,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.000000022412704e-06,3.293317499842101e-23,293.15,2.791229925944191e-130,7.546974601843377e-05,7.973379093815513e-70,-4.2886112914324346e-134,2.5092181799455366e-138,2.7860374290180787e-130,5.514590640437209e-80,1.223870707660938e-135,2.070799923368695e-127,1.7608635793134478e-106,7.204756954501441e-118,2.5156582006144302e-05
6,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.4652583599090576,7510,7.5012343609256e-05,293.15454295671043,7.177530051302373e-144,0.0,2.3148521304702284e-16,1.8937298764143513e+123,True,False,True,True,sin_impulse,NH3,-73648.64864864865,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.000000024648539e-06,-4.844534794250495e-23,293.15,1.7135089535766165e-132,7.546974591940549e-05,7.973380535618799e-70,2.7760478302073163e-134,6.124284708066861e-141,1.02227420109773e-132,5.514591630388743e-80,1.7831594162739855e-139,3.109582969305393e-127,2.0460218528479094e-106,8.371511766103765e-118,2.515658197313509e-05
15,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.0145254135131836,6025,7.499486276409347e-05,293.1580798922862,1.743816615025556e-144,0.0,1.0920726407045882e-15,3.677227607358634e+124,True,False,True,True,sin_impulse,NH3,-116216.21621621623,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,9.99999970911307e-07,1.0667281446219573e-22,293.15,4.163055875199963e-133,7.546974829949946e-05,7.97337194249666e-70,1.2470544496438797e-134,-1.778177613951068e-141,-1.6130344859966672e-133,5.5145858610826794e-80,1.4960866502388206e-139,2.552035869786448e-127,1.914900077181488e-106,7.835013347837694e-118,2.5156582766499775e-05
9,1e-06,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.108517646789551,7527,7.500513618554847e-05,293.1555693944425,2.2649100693316796e-144,0.0,3.808020050726416e-16,9.872293541659449e+123,True,False,True,True,sin_impulse,NH3,-87837.83783783784,10000.0,1.0,1e-06,0.0,293.15,0.0,7.546974701112222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515658233704074e-05,1.0000000132802067e-06,1.696155615707278e-22,293.15,5.407074282469969e-133,7.546974642292383e-05,7.973378350516487e-70,9.830859508570279e-135,-1.2951479604952945e-142,-4.061951413663623e-134,5.5145901559091746e-80,1.0506337284510142e-139,2.5566987214414056e-127,1.903164888347917e-106,7.786997599007378e-118,2.5156582140974946e-05
