ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
10009,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,1.930497169494629,11221,6.373266366668616e-05,717.9935355441495,-5.188961385440958e-40,0.0,2.0689916301626136e-05,1e+30,True,False,True,True,sin_impulse,NH3,-206081.0810810811,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.00026789262673985683,-6.551098791834261e-20,293.15,-6.44331773163072e-36,3.134373993374832e-05,6.948251909628588e-23,-2.737346010808685e-41,-2.0175427805037413e-48,3.2736726256648e-56,1.9958334552107165e-33,-4.0357604277794563e-41,-1.0247538683894765e-31,-6.678316135816873e-29,-9.828969862785098e-30,1.0447913311249427e-05
10008,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.2245047092437744,15024,6.369471820940082e-05,705.2652264772598,-9.871257228901874e-43,0.0,1.992059410249114e-05,1e+30,True,False,True,True,sin_impulse,NH3,-201351.35135135136,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.0002678926258996291,2.1002359133317395e-20,293.15,-1.225749097177612e-38,3.13437399342668e-05,1.7848742241387427e-25,-2.2303817501181964e-44,-2.393577810112861e-52,8.25669370833992e-62,5.1269178726837044e-36,-1.8914690155547843e-47,-2.3731671601288484e-37,-1.7903345577560919e-31,-2.8343873383643567e-32,1.0447913311422352e-05
10011,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.390475273132324,11532,6.379476726331928e-05,743.7990001020597,8.806891268086035e-36,0.0,2.2253297816748952e-05,1.4836844394625167e+26,True,False,True,True,sin_impulse,NH3,-215540.54054054053,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.0002678926286400182,-1.1520081087956747e-21,293.15,1.0935829590084986e-31,3.1343739932575485e-05,4.146304400015737e-25,-3.8273344689210654e-43,7.75020403818044e-51,1.0099274236629743e-59,1.190994964540898e-35,-2.247444984965938e-44,-3.8060351318659506e-35,-4.178144924470645e-31,-6.605865214637695e-32,1.0447913310858657e-05
10012,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.361126661300659,12102,6.38308190307638e-05,756.8703026181087,-2.9466813503086505e-39,0.0,2.3046883847285053e-05,1e+30,True,False,True,True,sin_impulse,NH3,-220270.27027027027,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.0002678926287214672,1.994410970633641e-20,293.15,-3.6589988558889045e-35,3.134373993252529e-05,2.244430723518872e-24,-1.73784445516753e-42,-5.3050465644300044e-51,3.875329253279372e-58,6.446959586366611e-35,-9.307974382534913e-45,-3.513499052751714e-35,-2.3223458661749897e-30,-3.6772113465375344e-31,1.0447913310841812e-05
10013,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.3365259170532227,12601,6.386525573177962e-05,770.0493371608642,-3.7200304347074635e-39,0.0,2.3848091374575233e-05,1e+30,True,False,True,True,sin_impulse,NH3,-225000.0,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.00026789263028119355,2.0029299848756313e-20,293.15,-4.6192937914010733e-35,3.1343739931562806e-05,1.3011425907604714e-22,-1.9086899479716334e-38,2.275338933656033e-46,4.8101484268533874e-54,3.737434891874856e-33,-7.284615703275686e-40,-2.67223502375856e-31,-1.0309862823769105e-28,-1.4834129385981973e-29,1.0447913310520841e-05
9973,0.00026588590604026847,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,2,True,45.639482498168945,13772,6.522501237594106e-05,1302.3766671106282,-7.839811468225395e-31,0.0,5.50684822774285e-05,1e+30,True,False,True,True,sin_impulse,NH3,-390540.5405405406,20000.0,1.0,0.00026588590604026847,0.0,293.15,0.0,3.134498774721336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044832924907112e-05,0.00026588590603652634,-2.658377130502496e-19,293.15,-9.95705849377036e-27,3.134498774696917e-05,2.81737170921055e-16,-6.002274916909106e-39,-2.669870632414081e-31,-7.652643507661334e-33,8.093011942034536e-27,4.9801786066780706e-27,6.000223309629157e-26,1.448282485128012e-32,1.878035738589025e-28,1.0448329249036713e-05
10014,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,2.073348045349121,10928,6.390253713164885e-05,783.3338488567645,-5.62511282720429e-40,0.0,2.465670515102559e-05,1e+30,True,False,True,True,sin_impulse,NH3,-229729.72972972973,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.00026789263063126557,5.830696422223242e-22,293.15,-6.984902170246281e-36,3.134373993134668e-05,1.9190003226066807e-23,2.378854335837646e-38,-1.137047560874741e-46,-2.3264869618396073e-55,5.5121850703450645e-34,-5.53480793806431e-41,-1.2217223848639008e-32,-4.436364513478305e-30,-1.3191414674895455e-30,1.0447913310448906e-05
9972,0.00026588590604026847,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,2,True,47.05397319793701,13774,6.517663815877696e-05,1286.3047074124634,-1.4290815947469283e-30,0.0,5.4118298525541824e-05,1e+30,True,False,True,True,sin_impulse,NH3,-385810.8108108108,20000.0,1.0,0.00026588590604026847,0.0,293.15,0.0,3.134498774721336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044832924907112e-05,0.00026588590603635217,-4.3167923538760186e-16,293.15,-1.815024390441714e-26,3.1344987747065065e-05,1.7230132892230186e-16,-3.555340992248589e-38,-9.672547601051142e-31,-1.6876195804273789e-32,4.949423989936741e-27,9.092187616193539e-27,2.6779145817565226e-26,6.339919660929778e-33,7.987664769754151e-29,1.0448329249050388e-05
10017,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,1.9873414039611816,11047,6.402204876771788e-05,823.789630214644,-1.7838806357843234e-38,0.0,2.7124992749377438e-05,1e+30,True,False,True,True,sin_impulse,NH3,-243918.91891891893,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.0002678926324460088,2.8421760736938253e-20,293.15,-2.21510783052521e-34,3.134373993022668e-05,1.310153734864941e-22,2.896586469142861e-39,-4.0178480443777064e-47,2.7159620297902087e-53,3.7633187299893136e-33,4.849137299902068e-39,1.222078329115279e-31,-1.1790467366950423e-28,-1.7117829879708845e-29,1.0447913310075583e-05
10015,0.0002678926174496644,1.0,101325.0,0.35,293.15,2338.339978450019,0.0010176488244921045,1  11,0.75  0.25,1.0,1483.0,0,True,3.044339656829834,13580,6.394309628673443e-05,796.7203950277229,-2.7003718760376277e-38,0.0,2.547254678467008e-05,1e+30,True,False,True,True,sin_impulse,NH3,-234459.45945945947,20000.0,1.0,0.0002678926174496644,0.0,293.15,0.0,3.134373993948183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447913313160611e-05,0.0002678926311272399,-2.3052927467784694e-20,293.15,-3.353147546023484e-34,3.134373993104055e-05,5.704389232760632e-20,-6.579130597142428e-38,3.2342410967154417e-41,1.800568488537504e-46,1.6385431932141003e-30,-4.769641280682079e-41,-1.0647469579897253e-26,-4.8776412676238715e-26,-9.410412794929295e-27,1.0447913310346852e-05
