ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
4,0.00015819774651925164,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.18840432167053223,3635,3.925420723114687e-05,361.5009975174209,6.256183218423365e-36,0.0,3.5827270886082023e-07,3.3625911426571105e+24,True,False,True,True,sin_impulse,NH3,-329626.6459605268,80926.5808832446,1.0,0.00015819774651925164,0.0,293.15,0.0,1.5869178279458335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2897260931527785e-06,0.00015819774591877106,-1.3070693437871697e-20,293.15,3.772419457422237e-31,1.5869178280521046e-05,1.3744273374064067e-24,-1.476937355164498e-48,4.0286691945643156e-58,4.1845246755074576e-67,3.997644281672195e-35,1.114930873253587e-55,5.4991163215396274e-34,-3.550834800430281e-30,-1.0602639184768911e-31,5.289726093507026e-06
15,0.00034193420475582987,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.2849409580230713,5903,8.856632371568499e-05,584.1259312126432,-4.758497046389986e-36,0.0,1.6214998683887203e-05,1e+30,True,False,True,True,sin_impulse,NH3,-320934.149846835,23458.166447103562,1.0,0.00034193420475582987,0.0,293.15,0.0,1.571873551132223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.239578503774077e-06,0.0003419342088699596,-7.29125501724779e-21,293.15,-2.841538460615558e-32,1.571873550976371e-05,8.075456132100683e-21,2.811026518052991e-32,-9.913615896444805e-40,-6.991642807096242e-46,2.326551079235432e-31,2.366878561327827e-37,-5.814299735572644e-27,-1.5707517428826677e-26,-6.421803433928233e-28,5.239578503254571e-06
14,0.000463304541951266,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.22400259971618652,3591,0.00010175148887935712,307.47688366661686,-2.0353183442910726e-34,0.0,3.014893310126324e-07,1e+30,True,False,True,True,sin_impulse,NH3,-583191.1449447288,92268.2687272821,1.0,0.000463304541951266,0.0,293.15,0.0,1.568480251040573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228267503468578e-06,0.00046330454178790414,7.277582405178065e-20,293.15,-4.885894270602914e-31,1.5684802510439416e-05,2.0779128298289715e-25,-1.973430569286585e-33,-1.324217077071638e-44,-2.5554430502591545e-55,5.973574750275613e-36,-1.9378232375260655e-40,2.101419614641492e-33,-7.055710742983149e-31,-2.0395918205563728e-32,5.228267503479837e-06
16,0.0003885013688349895,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.23845767974853516,4042,8.883897830083164e-05,343.33538952612633,-3.2966269564413024e-35,0.0,1.7750890900923981e-06,1e+30,True,False,True,True,sin_impulse,NH3,-430450.6847821429,51399.850486292205,1.0,0.0003885013688349895,0.0,293.15,0.0,1.5703209371062553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234403123687517e-06,0.0003885013676535805,-3.1477900511968077e-20,293.15,-1.3421576781460673e-31,1.570320937140929e-05,6.355834010516492e-24,-6.773689483563325e-48,1.6436015338922398e-56,-3.0564667658475307e-65,1.8293166658902667e-34,1.1340604326415894e-54,2.1543882310308514e-32,-1.6677932692551827e-29,-4.9525502085773145e-31,5.234403123803029e-06
13,0.00045438685094180745,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.31626152992248535,5273,0.00010611280540461373,380.7430494348117,4.250751019093701e-34,0.0,6.314384781150619e-06,8.722383383234523e+23,True,False,True,True,sin_impulse,NH3,-379811.3571620345,32908.650936082384,1.0,0.00045438685094180745,0.0,293.15,0.0,1.5686678709501027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22889290316701e-06,0.00045438684869581543,2.8450577732208613e-19,293.15,1.0816824886353174e-30,1.5686678709982857e-05,7.882793721126186e-26,7.647949206547027e-34,1.2472842055772584e-43,8.435961220169839e-55,2.2664131781544446e-36,1.9515893520176865e-39,4.2534983216009174e-36,-2.076498472705248e-31,-6.185444989932937e-33,5.228892903327592e-06
8,7.710395362205304e-05,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.9707915782928467,15371,2.6084087733489625e-05,2474.139890637034,1.76789018397595e-19,0.0,1.8673305142298846e-06,620205632.3454021,True,False,True,True,sin_impulse,NH3,-508478.55928200256,55631.19243235203,1.0,7.710395362205304e-05,0.0,293.15,0.0,1.6163640435720238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38788014524008e-06,7.71039701047412e-05,-1.634058887377937e-12,293.1500000026242,9.207388184395859e-14,1.616363841961262e-05,1.9666031858995933e-12,8.383446935530571e-31,9.050918002089262e-30,9.925459271575225e-19,5.826178066370609e-23,4.473197341596863e-16,2.748906396609886e-13,1.2515808163664219e-20,1.1576888644939699e-29,5.387879663376627e-06
17,0.000327576127419412,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.372363805770874,6734,7.950410969069837e-05,730.9640837815602,-1.98829278236643e-40,0.0,2.422530341879201e-05,1e+30,True,False,True,True,sin_impulse,NH3,-533544.6381018376,27316.362767035465,1.0,0.000327576127419412,0.0,293.15,0.0,1.5724413052750868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.241471017583622e-06,0.0003275761411157306,-4.911673023649501e-21,293.15,-1.3503767098322439e-36,1.572441304709764e-05,1.2241484827265348e-22,-7.92063785401665e-40,-1.3167155420093426e-48,4.234547728885804e-56,3.528064084355406e-33,8.736711252979245e-41,-5.294524674491562e-31,-1.8208946708583124e-28,-5.3709551009063935e-30,5.241471015699182e-06
5,0.00014380527199898578,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.198012113571167,3725,3.562360740524484e-05,362.3819649533605,2.212693698156137e-37,0.0,2.9671757963664106e-07,7.873934088060103e+25,True,False,True,True,sin_impulse,NH3,-346878.7169903264,88836.69533822809,1.0,0.00014380527199898578,0.0,293.15,0.0,1.58971989925614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2990663308538e-06,0.00014380527129388538,-1.6541796888295854e-20,293.15,1.776267102313282e-32,1.5897198994071567e-05,-4.8205122130742636e-27,-2.9036993603738427e-51,6.115594653672932e-60,-3.534831841893587e-70,-1.4045646091657192e-37,1.4554955080860765e-57,8.34154275233301e-36,-7.205143272252147e-33,-2.1322612504822316e-34,5.29906633135717e-06
19,0.000154309811088178,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.18889784812927246,3609,3.700820040735963e-05,357.0707178524007,-3.322183732372409e-53,0.0,3.114607631069313e-07,1e+30,True,False,True,True,sin_impulse,NH3,-433666.5572584,97667.4340811909,1.0,0.000154309811088178,0.0,293.15,0.0,1.5876232418672932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.292077472890978e-06,0.00015430981045547868,1.552855916440381e-19,293.15,-2.1585117872214774e-48,1.587623241984976e-05,8.564541314651383e-26,-1.015061972108152e-49,3.8484833763562692e-59,-9.947680336452886e-69,2.4921804223903716e-36,1.420956588288604e-57,5.662871856923565e-35,-2.4926284748640624e-31,-7.413636857064418e-33,5.292077473283313e-06
0,0.00036092701579916957,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.1926264762878418,3786,9.040905128618824e-05,339.91637314725,-3.360546798504025e-38,0.0,1.2969210289786433e-06,1e+30,True,False,True,True,sin_impulse,NH3,-160003.9473031579,34121.65133374557,1.0,0.00036092701579916957,0.0,293.15,0.0,1.5711919251682006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2373064172273366e-06,0.00036092701488859126,-3.145081636348208e-21,293.15,-1.7063305622874235e-34,1.571191925199158e-05,7.649450325103519e-27,-8.023599101192396e-51,1.759965867521249e-60,-2.6485160351487935e-70,2.2028625027136167e-37,7.971985470662124e-59,1.99251729106116e-36,-1.9731234948455454e-32,-5.882282091800695e-34,5.237306417330563e-06
