ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,logf,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
994,3.320526608438748e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,4.449232339859009,13911,2.494763515800539e-05,5139.5513856865055,1.1746156903073485e-13,0.0,2.1171272314881335e-06,1058.3296337989968,True,False,True,True,sin_impulse_logf,NH3,-263387.75790957245,4.558457609894072,1.0,3.320526608438748e-05,0.0,303.15,0.0,3.143979105958729e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479930353195763e-05,3.2998920828665324e-05,-9.577060863964198e-13,303.1500000028241,7.803833172627493e-07,3.08625121189977e-05,-6.099374229934955e-18,-1.1936377342903077e-18,4.932967062513686e-23,7.997585728223434e-12,-5.080018626125828e-28,2.4224398983860176e-11,1.1195465354496903e-10,8.888280047675527e-16,-1.9712399231237855e-15,1.0287435989467483e-05
994,3.320546508438748e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.6520049571990967,14263,2.4947649974591795e-05,5139.53579125175,1.174622057419473e-13,0.0,2.1171257564536885e-06,1058.323159707001,True,False,True,True,sin_impulse_logf,NH3,-263387.75790957245,4.558457609894072,1.0,3.320546508438748e-05,0.0,303.15,0.0,3.1439783329441495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479927776480497e-05,3.29991205263814e-05,-8.782773197642481e-13,303.1500000024587,7.803733796911094e-07,3.086251252656048e-05,2.4941924303018854e-16,4.383791158630859e-16,3.8671576917097054e-23,6.309330235117321e-12,3.668338673637256e-24,2.4206796000718482e-11,1.105878476719917e-10,9.377489505721851e-13,4.415883972319718e-13,1.0287436738409443e-05
994,3.320526608438748e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.6588361263275146,13930,2.4947630883291595e-05,5139.54872103062,1.174613735470346e-13,0.0,2.117121730164558e-06,1058.3286450531941,True,False,True,True,sin_impulse_logf,NH3,-263387.55525957246,4.558457609894072,1.0,3.320526608438748e-05,0.0,303.15,0.0,3.143979105958729e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479930353195763e-05,3.2998920093270865e-05,1.1521835671823345e-14,303.1499999999645,7.803820706946149e-07,3.0862513812436605e-05,1.6075050374848446e-21,-6.137388525247474e-23,3.9460446335969984e-23,6.05406909211864e-12,7.268203852057619e-32,2.422407579488801e-11,1.119532917430326e-10,2.8879535986468236e-17,-4.4524259184312454e-20,1.0287437525753886e-05
994,3.320526608438748e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,4.039657354354858,15179,2.4947583252347414e-05,5139.5439460789885,1.1746096926065068e-13,0.0,2.117112262530651e-06,1058.3275548970266,True,False,True,True,sin_impulse_logf,NH3,-263387.75790957245,4.558458609894072,1.0,3.320526608438748e-05,0.0,303.15,0.0,3.143979105958729e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0479930353195763e-05,3.299892111644943e-05,-1.0174248241122347e-12,303.1500000029986,7.80379312133272e-07,3.086251499017588e-05,1.2806816639437425e-21,2.993292506658172e-23,5.230542942398379e-23,8.451115816428187e-12,3.321808588112158e-30,2.4212640548961595e-11,1.1168812865492726e-10,3.209427051063765e-17,2.277134383776635e-13,1.0287436704392415e-05
994,4.2580233954411524e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.589686155319214,14366,2.4843905141252168e-05,4324.40383640657,3.3633719602875206e-14,0.0,1.8839544465381052e-06,3289.0107615997013,True,False,True,True,sin_impulse_logf,NH3,-261929.72280451623,4.57358524199528,1.0,4.2580233954411524e-05,0.0,303.15,0.0,3.115579918083639e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0385266393612132e-05,4.254428856224265e-05,-7.082175582322396e-13,303.15000000261574,1.0427074894746622e-07,3.1078441187682094e-05,3.965081608684396e-15,4.2068992642033885e-24,2.798825460953933e-22,5.63943473209261e-12,1.7962376975881278e-25,2.2722062760002882e-13,6.812542703642453e-12,1.742762407473787e-18,-2.998248273894569e-22,1.0359474094824797e-05
994,3.78927500193995e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.489905595779419,13996,2.4891942152239518e-05,4721.495222167533,8.691891823161586e-14,0.0,1.9731607356102694e-06,1332.9625514942245,True,False,True,True,sin_impulse_logf,NH3,-262658.7403570443,4.566021425944676,1.0,3.78927500193995e-05,0.0,303.15,0.0,3.128022965757536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0426743219191787e-05,3.777547248632862e-05,-1.5011261271655795e-12,303.1500000050347,3.849426112298494e-07,3.099501087639268e-05,-3.8789993291686817e-22,4.9041172649699667e-23,1.1276131470642853e-22,7.944873868384498e-12,-1.7523872414849891e-32,4.9773824131680406e-12,4.130070499154512e-11,1.060981703093469e-17,2.460102788271491e-20,1.0331644010206859e-05
994,3.78929490193995e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.616316556930542,14391,2.4891956885704183e-05,4721.480785574469,8.691703594294364e-14,0.0,1.9731607620654263e-06,1332.9914362079362,True,False,True,True,sin_impulse_logf,NH3,-262658.7403570443,4.566021425944676,1.0,3.78929490193995e-05,0.0,303.15,0.0,3.128022372163283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0426741240544279e-05,3.777567498414733e-05,1.1171406230459431e-12,303.14999999952596,3.8492808470660413e-07,3.099501593860582e-05,1.6818944762153908e-13,1.705351866680122e-23,9.285889612249021e-23,6.5858259477381474e-12,-3.0784724185450647e-21,4.984050098318582e-12,4.268171183316393e-11,-1.1033267701065808e-17,-1.6121036459408893e-12,1.033164678719098e-05
994,3.78927500193995e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,4.022295951843262,14407,2.489193811601468e-05,4721.4926690540515,8.691832608649187e-14,0.0,1.9731559816975315e-06,1332.968421003999,True,False,True,True,sin_impulse_logf,NH3,-262658.53770704434,4.566021425944676,1.0,3.78927500193995e-05,0.0,303.15,0.0,3.128022965757536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0426743219191787e-05,3.7775472887161514e-05,-7.764032844718805e-13,303.150000002604,3.8493997651033796e-07,3.099501365824513e-05,-4.920366372517812e-19,8.424035666419956e-24,8.72165825206013e-23,5.7591261784745796e-12,-2.222904368982068e-29,4.978277492475233e-12,4.129928585544327e-11,1.0841694991459848e-17,2.2438574569813052e-20,1.0331646030775833e-05
994,3.78927500193995e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.6776556968688965,14296,2.4891891139089193e-05,4721.487606118321,8.691714703913939e-14,0.0,1.973147339356591e-06,1332.9806645445735,True,False,True,True,sin_impulse_logf,NH3,-262658.7403570443,4.566022425944676,1.0,3.78927500193995e-05,0.0,303.15,0.0,3.128022965757536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0426743219191787e-05,3.777547429279556e-05,-6.5175257356531e-13,303.15000000217464,3.849347118278796e-07,3.09950177024676e-05,-8.25498550661138e-19,1.44605851552804e-23,8.318048115114039e-23,5.39882257433696e-12,-3.7818010473501886e-29,4.9774870418480466e-12,4.129919563710558e-11,1.1715682577285441e-17,3.0687570954844915e-20,1.033164755930969e-05
994,3.3739014787180645e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,3.93955135345459,14118,2.5278726986468404e-05,5140.521789077044,1.2232469475984585e-13,0.0,2.201095493666729e-06,1056.5609131811193,True,False,True,True,sin_impulse_logf,NH3,-263518.28780250193,4.552932288880485,1.0,3.3739014787180645e-05,0.0,303.15,0.0,3.1419385495159705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473128498386568e-05,3.353078788125561e-05,-7.717899831642678e-13,303.1500000023204,7.746299004664974e-07,3.084624022161662e-05,4.8362151551057e-16,1.3551922073536254e-18,3.743534196504422e-23,6.0274461628585e-12,2.5226970258272148e-26,2.4149947872201634e-11,1.1161310360389427e-10,1.0305015104570976e-13,6.554344352660296e-16,1.0282013134557917e-05
