ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,logf,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
7,0.00012812651853405822,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.808574914932251,4141,5.53212731191857e-06,339.04324623811937,1.1047389501924921e-35,0.0,6.755506794793189e-08,3.590608585880011e+23,True,False,True,True,sin_impulse_logf,NH3,-221997.67095495586,5.308354657786519,3.0,0.00012812651853405822,0.0,303.15,0.0,3.0484207629457384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0161402543152462e-05,0.00012812651843976434,4.0176511962968654e-20,303.15,1.2538742428436788e-30,3.0484207629703407e-05,1.1573480868691616e-25,-7.428218408603489e-49,4.345416097733196e-60,-2.3943759770274318e-67,5.1426134845029344e-36,1.0816837820965812e-56,2.922031613179691e-37,-1.0251293830339733e-31,-1.4324677850670085e-32,1.0161402543234451e-05
8,0.0002922082061955939,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,1.4451453685760498,5419,2.8867560048128566e-06,306.84440075677253,-3.971497657820682e-35,0.0,7.60006508414733e-09,1e+30,True,False,True,True,sin_impulse_logf,NH3,-260852.5368384605,5.543948916218607,3.0,0.0002922082061955939,0.0,303.15,0.0,3.0296500909256337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009883363641878e-05,0.0002922082060734656,-6.505882414129545e-20,303.15,-3.8000427055084847e-31,3.029650090931759e-05,1.9801464888673315e-23,-1.9712087176266975e-46,-4.982704009976115e-56,2.0315196602981037e-63,8.744495686389772e-34,-5.949184358088186e-55,-2.115560692848504e-33,-2.877739116643239e-29,-3.801629622954047e-30,1.0098833636439224e-05
1,0.00028428829009571855,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,2.476182460784912,10871,2.8935623797812555e-05,481.30669263810495,3.021385387592654e-35,0.0,7.516807083125896e-06,1.4608212444745207e+25,True,False,True,True,sin_impulse_logf,NH3,-351765.57863243023,4.636576475482721,3.0,0.00028428829009571855,0.0,303.15,0.0,3.030058429437914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100194764793047e-05,0.0002842882886580701,4.7945891849996455e-21,303.15,3.139356293559863e-31,3.0300584295141057e-05,2.8110583644504094e-22,-9.878909172429402e-45,-4.763866298637343e-51,-1.3412964930610315e-58,1.2415546508966317e-32,-1.0688831592041153e-47,-5.704324412742896e-31,-3.794059601560925e-28,-4.868948952665943e-29,1.0100194765046967e-05
10,0.0001367318589412339,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,2.002589702606201,6021,3.1233927210320266e-05,442.9284083938568,-6.768195366313384e-36,0.0,9.166529847163391e-07,1e+30,True,False,True,True,sin_impulse_logf,NH3,-136275.91494636,4.61698381673548,3.0,0.0001367318589412339,0.0,303.15,0.0,3.046316933876335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0154389779587785e-05,0.00013673185779856852,-7.180417219678002e-21,303.15,-6.320844887691025e-31,3.0463169341381168e-05,3.2182638705757965e-23,-4.8615867031853384e-46,-3.2380004781002814e-54,-1.2201627469446752e-63,1.4290311959624443e-33,-2.8120822044655707e-50,-1.1878955683797565e-32,-4.541883942155713e-29,-6.511795425508338e-30,1.015438978046033e-05
4,0.00017602304016462676,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,4.7314770221710205,17662,6.842843954598686e-05,3361.204068468836,4.3722232112757144e-14,0.0,5.9870593943654975e-05,80404.6262148806,True,False,True,True,sin_impulse_logf,NH3,-272798.4506439818,4.170112946302151,3.0,0.00017602304016462676,0.0,303.15,0.0,3.0393248441895507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013108281396517e-05,0.00017602029834424285,-2.5831452200389585e-12,303.15000002198315,1.9139273912960845e-09,3.0391814248574952e-05,1.8607601786079154e-12,7.91748966973619e-26,1.1805805721790004e-22,2.044379424325269e-12,8.24312842022011e-23,1.3120601749501079e-17,3.7177595615999145e-13,9.366510366989542e-20,5.848446534093276e-27,1.013060385156945e-05
2,5.821528719601925e-05,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,4.9693403244018555,12907,2.857141907684005e-05,4272.75415466014,8.140823210031689e-14,0.0,4.184690950802616e-06,3018.3170890813903,True,False,True,True,sin_impulse_logf,NH3,-333818.77323570783,4.546437614841816,3.0,5.821528719601925e-05,0.0,303.15,0.0,3.088564890351432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0295216301171441e-05,5.816846879488915e-05,-1.3365839817117868e-13,303.1500000006824,9.874538762417355e-08,3.0812178394912635e-05,-5.539994641691749e-16,4.022615911477393e-24,1.4050522426308104e-22,1.9265619764948593e-12,-2.4881682907934524e-26,2.881539351655772e-13,7.379145674723615e-12,1.8789557410405953e-18,3.746533216453825e-22,1.0270721382638671e-05
13,0.00012939286785936045,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.9930884838104248,4148,4.065522386342154e-06,338.99029232227343,7.250544181972864e-36,0.0,6.959409833820421e-08,5.6360080589415454e+23,True,False,True,True,sin_impulse_logf,NH3,-355685.4315123542,5.426788579399031,3.0,0.00012939286785936045,0.0,303.15,0.0,3.0480936066366664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0160312022122221e-05,0.00012939286762242484,8.867299243275173e-21,303.15,7.990077290685075e-31,3.048093606697267e-05,9.850147854913906e-25,-5.996614039439087e-48,-1.5604841804897728e-56,-7.72088589305329e-65,4.3763900777238377e-35,-1.2453715704405514e-54,-2.272856777858798e-33,-1.4410624219087958e-30,-1.1564791923029362e-31,1.0160312022324378e-05
12,0.0004013164965686127,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,3.108534097671509,15624,6.442470608792006e-06,311.8468639187479,1.9173863374601544e-34,0.0,9.15905760457779e-08,2.8048585097212254e+22,True,False,True,True,sin_impulse_logf,NH3,-235039.62145240183,5.20337474385464,3.0,0.0004013164965686127,0.0,303.15,0.0,3.0256650804150354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0085550268050117e-05,0.00040131649620642955,-2.5028303187294607e-20,303.15,7.082066224061543e-31,3.025665080424676e-05,6.142148325161839e-22,-7.110584686230555e-36,-1.6180686440574326e-43,-8.584847719442105e-51,2.7088573045424414e-32,-3.2581690144449857e-41,-2.2797818163080326e-30,-7.581839456493375e-28,-8.312275262657972e-29,1.008555026808214e-05
0,0.00018818478951356803,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,8.348871231079102,29916,0.0001548561075140829,7572.319159014544,3.1460180336453578e-12,0.0,0.0031169069596798035,58174.468909788506,True,False,True,True,sin_impulse_logf,NH3,-322606.9576981219,3.7823979655318034,3.0,0.00018818478951356803,0.0,303.15,0.0,3.0377523351375357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012584111712512e-05,0.00018800975567324798,-1.4623584531737783e-12,303.1500000228292,1.1301379098978377e-07,3.0292972286173445e-05,1.6221979450950288e-14,4.697726136626227e-24,2.992718540157996e-22,3.3984512692221336e-12,7.1629647517296055e-25,8.010884452255247e-14,3.4131505772537943e-12,8.571620874211673e-19,-5.929151356990035e-22,1.0097653998923852e-05
14,8.349258287310954e-05,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,2.5016884803771973,12203,2.528760679889027e-05,1979.8487580877645,2.7891958472036772e-24,0.0,3.6666683401414506e-06,77190244221651.52,True,False,True,True,sin_impulse_logf,NH3,-284560.0470857748,4.647993997797395,3.0,8.349258287310954e-05,0.0,303.15,0.0,3.0662909624897566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0220969874965854e-05,8.349259913963358e-05,1.488393687158891e-13,303.14999999951124,1.1440538259783764e-18,3.066290715605885e-05,2.7072937494741365e-12,4.6975121119701424e-35,3.362384971215272e-27,-5.638663659768194e-22,1.2100233166349072e-22,1.1795299595547506e-20,8.965823711812397e-17,2.272045952782737e-23,-9.506775176361384e-24,1.0220969503190545e-05
