ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
5,1.1842598009356841e-05,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.03194999694824219,42,1e-05,303.150000006111,-3.2501247578965705e-44,0.0,2.8409458138092806e-25,1e+30,True,False,True,True,sin_sqr,NH3,-106085.43640307322,76783.77578246707,0.5,1.1842598009356841e-05,0.0,303.15,0.0,3.376655691021372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1255518970071239e-05,1.1842598009356846e-05,-1.779130344811262e-22,303.15,-4.671651739885407e-36,3.376655691021372e-05,5.271396962090154e-29,4.633801564700827e-52,-6.702916657235074e-63,-1.2347423086747013e-72,2.5945227082166094e-39,-1.2387826967256819e-58,1.373502260855326e-41,5.639091383770804e-35,8.935572977762426e-36,1.1255518970071246e-05
16,0.00027839133117432945,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.016842365264892578,47,0.0001975984225031168,303.1500000010269,-3.805705047442496e-53,0.0,3.8226484911325754e-21,1e+30,True,False,True,True,sin_sqr,NH3,-126101.65672375029,126891.27994645815,0.5,0.00027839133117432945,0.0,303.15,0.0,3.0303775571835498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101258523945165e-05,0.0002783913311743299,-2.594201905638396e-20,303.15,-4.210943302445268e-49,3.0303775571835515e-05,6.1590901192401465e-28,-7.661354019334189e-51,1.0428855462811392e-62,1.1881819969395896e-71,2.720559789973669e-38,1.5345361913596848e-59,4.103245646214578e-40,-1.0118195027113582e-33,-1.4772822010444628e-34,1.0101258523945158e-05
17,4.026287938903596e-05,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,1,True,0.015471458435058594,4,0.0,303.15,8.202536992717249e-43,0.0,2.7951289152383473e-25,20008910495149.43,True,False,True,True,sin_sqr,NH3,-120836.33207289832,43239.36260350363,0.5,4.026287938903596e-05,0.0,303.15,0.0,3.1213692807378145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0404564269126047e-05,4.026287938903596e-05,1.8608578370519973e-22,303.15,3.000164708338923e-36,3.1213692807378145e-05,4.800745460901138e-68,1.6516272829769496e-93,1.2046584236483844e-99,2.3012439066901805e-109,2.184232826509286e-78,2.0564525029006656e-95,7.892148372311906e-125,2.886828675115865e-104,1.4227279521623799e-105,1.0404564269126047e-05
18,9.490886858238065e-05,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.03334188461303711,44,7.942814220211967e-05,303.1500000000179,-8.648939174098847e-54,0.0,3.0652379520481726e-22,1e+30,True,False,True,True,sin_sqr,NH3,-398219.6700240071,130481.36223849721,0.5,9.490886858238065e-05,0.0,303.15,0.0,3.0601204494064505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0200401498021503e-05,9.490886858238055e-05,-1.309526220858452e-19,303.15,-2.4152041432481213e-48,3.060120449406451e-05,3.506600293720777e-27,-4.350078511150546e-50,1.683644905720171e-61,6.7275829473859315e-71,1.564118890249353e-37,9.020229259495857e-58,4.941068075679178e-39,-5.702929556412494e-33,-8.387829016163456e-34,1.0200401498021506e-05
8,0.0008949824048871062,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.027077674865722656,42,0.0013035284671218345,303.1500000002912,-1.5928744127181415e-51,0.0,-2.252270180023608e-20,1e+30,True,False,True,True,sin_sqr,NH3,-64088.7806144363,50669.94225598953,0.5,0.0008949824048871062,0.0,303.15,0.0,3.0197782331522693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0065927443840899e-05,0.0008949824048871058,4.86163117816941e-21,303.15,-5.304560839603765e-49,3.0197782331522693e-05,7.792388025751897e-28,-9.694421478613179e-51,9.814421167430658e-63,1.5024775233697337e-71,3.429972166721499e-38,4.76630933049468e-59,3.0210835752202645e-40,-1.2839288676134526e-33,-1.869637824193187e-34,1.0065927443840897e-05
20,0.000458032660281682,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.02172255516052246,44,0.0007488739898129238,303.15000000016073,-1.4641673068455048e-52,0.0,2.1073943197548854e-20,1e+30,True,False,True,True,sin_sqr,NH3,-208509.19429753642,108124.14585288045,0.5,0.000458032660281682,0.0,303.15,0.0,3.0243435580137167e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081145193379056e-05,0.00045803266028168223,-1.7600764878718207e-20,303.15,-3.6375816958870844e-49,3.024343558013717e-05,5.3332527948975085e-28,-6.634649091645945e-51,8.523958123649894e-63,1.028549752699179e-71,2.351084667433858e-38,4.259903881781259e-59,2.592205796508483e-40,-8.775597250003788e-34,-1.2793410720338784e-34,1.008114519337906e-05
10,0.0005979566473125793,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.027164459228515625,45,0.0010409158687563742,303.15000000026737,-9.359723692183486e-53,0.0,4.8305000239275284e-20,1e+30,True,False,True,True,sin_sqr,NH3,-242364.1875046654,80518.02297909762,0.5,0.0005979566473125793,0.0,303.15,0.0,3.0221554076233304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073851358744435e-05,0.0005979566473125793,-1.1028977070525413e-20,303.15,-1.0451179920229432e-49,3.0221554076233304e-05,1.5343844276926575e-28,-1.9092936096104306e-51,9.445427131100335e-64,2.9602154839675086e-72,6.759210171594724e-39,3.056353539026235e-60,3.298146811361209e-41,-2.52507532652621e-34,-3.67915241069191e-35,1.007385135874444e-05
14,0.0006643721196423328,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.015622615814208984,45,0.0008674805255687574,303.1500000001891,-1.4846517904650913e-51,0.0,4.693988372196573e-20,1e+30,True,False,True,True,sin_sqr,NH3,-137598.85698157042,71304.58611406626,0.5,0.0006643721196423328,0.0,303.15,0.0,3.0214393642840023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071464547613341e-05,0.0006643721196423328,1.525985297928363e-19,303.15,-1.2086534611641229e-48,3.021439364284003e-05,1.774534158952102e-27,-2.2067626346459387e-50,1.952605446837313e-62,3.426104359904083e-71,7.815256241927888e-38,7.3236999418428485e-59,6.5665577995141585e-40,-2.920863016756432e-33,-4.25507514433167e-34,1.0071464547613341e-05
13,0.00044745784757549965,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.03124833106994629,7,0.0,303.15,-4.122230753291861e-110,0.0,-7.32389225984429e-36,1e+30,True,False,True,True,sin_sqr,NH3,-283265.7030489779,95269.70427913035,0.5,0.00044745784757549965,0.0,303.15,0.0,3.024564549350579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081881831168597e-05,0.00044745784757549965,-2.8637467508343573e-26,303.15,-1.0984677274961352e-106,3.024564549350579e-05,-2.596012834115155e-30,1.9653499019166616e-99,5.947089201067377e-116,7.431185388354938e-107,2.596012834115155e-30,-2.8982741362719286e-124,3.036394016842375e-93,-6.609640074666428e-65,-9.224857724875715e-70,1.0081881831168597e-05
23,0.0003401528710262268,1.0,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,0.015625715255737305,7,0.0,303.15,-1.8199675746769072e-110,0.0,-4.245059941503244e-36,1e+30,True,False,True,True,sin_sqr,NH3,-196708.76489412575,102181.51098144603,0.5,0.0003401528710262268,0.0,303.15,0.0,3.0275841167974227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009194705599141e-05,0.0003401528710262268,-2.869452932612212e-26,303.15,-1.103958171264888e-106,3.0275841167974227e-05,-2.6011899625527327e-30,1.9732025192237897e-99,5.976793923229583e-116,7.468302924318459e-107,2.6011899625527327e-30,-2.9127605072350723e-124,3.0493744758933695e-93,-6.629433432844422e-65,-9.261295118501399e-70,1.009194705599141e-05
