ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
7,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.8530941009521484,2903,5.008868386650352e-05,303.15359142460017,2.161314942166404e-139,0.0,2.0284223337576084e-16,5.510742572466396e+118,NH3,-50000.0,10000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.999999917589564e-07,3.4569495734189494e-22,303.15,5.159759476927762e-128,5.0367784344291346e-05,1.250023023686217e-67,7.25971773648306e-130,9.330626566880916e-137,5.137189606309568e-129,3.670927811493848e-77,9.839127309370884e-135,1.2532968261510279e-122,1.2439113550390811e-102,1.2744671138681663e-113,1.6789261448097263e-05
4,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.4202160835266113,3807,0.00010008902622359722,303.15179525101564,5.13171576022549e-141,0.0,1.0118233161012584e-16,1.1577422590485485e+120,NH3,-50000.0,5000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.000000024564313e-06,5.820311388035402e-23,303.15,1.2251068043919821e-129,5.036778293922825e-05,1.2500055183250419e-67,5.693670073205073e-130,-7.344249679780452e-136,-3.56733033231275e-128,3.670876301306084e-77,-6.809548071520191e-135,9.951651553604249e-123,1.1366422619774046e-102,1.1645630351831202e-113,1.6789260979742613e-05
10,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.5673325061798096,2575,2.5088192080290093e-05,303.15718663175204,-2.7790509398800924e-139,0.0,4.0737849384753126e-16,1e+30,NH3,-50000.0,20000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.999999980620953e-07,-7.187947140140143e-23,303.15,-6.634495451362475e-128,5.036778407432612e-05,1.2500317281359945e-67,-8.934684980549114e-130,-2.2698179499034324e-135,-1.1865396183109711e-127,3.670953354071424e-77,-3.6633647939504e-134,1.36562734870996e-122,1.2896009394543146e-102,1.3212790289998013e-113,1.6789261358108707e-05
8,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.711118459701538,6139,7.5006057433688e-05,303.15359142460017,1.320849469589454e-139,0.0,2.5335962272611377e-16,1.1262994545568053e+119,NH3,-50000.0,10000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000036662764e-06,-1.1266233630939254e-23,303.15,3.1532957977994836e-128,5.036778383429744e-05,1.2500388493338713e-67,5.937097023779243e-130,-9.710765123854266e-138,1.630546663117234e-129,3.6709742493137724e-77,-2.6029035243932528e-135,8.099938158287554e-123,1.0554448850710826e-102,1.0813711050019011e-113,1.6789261278099028e-05
11,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.2342522144317627,3991,3.751675126277124e-05,303.15718663175204,1.1254344981494811e-139,0.0,5.084343358858214e-16,2.6526774444894953e+119,NH3,-50000.0,20000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000082783742e-06,-2.3038380928053926e-22,303.15,2.686776885873113e-128,5.036778363675985e-05,1.2500396319634544e-67,5.4283131727492314e-130,-7.780926005774921e-137,6.7149597532926234e-130,3.6709765332554694e-77,4.7332341774347924e-135,7.102056586438216e-123,1.0086163742076942e-102,1.0333922865395594e-113,1.6789261212253228e-05
5,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,3.7758123874664307,9147,0.00015001198510931977,303.15179525101564,1.2736070123763401e-139,0.0,1.2624752918801751e-16,5.820459100959525e+118,NH3,-50000.0,5000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000001367597145e-06,-2.9921959884063425e-21,303.15,3.040511526184294e-128,5.036777813386594e-05,1.2500369816396544e-67,6.256212953557886e-130,-1.1542063685695545e-136,-1.1126566076714466e-129,3.67096834901249e-77,7.65076350242445e-135,8.537466906790929e-123,1.0802971036200738e-102,1.1068337998464687e-113,1.678925937795532e-05
13,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.7213428020477295,2710,1.6753628968994035e-05,303.16078570200534,1.1517373832535374e-139,0.0,6.137512463469287e-16,3.1290227435262337e+119,NH3,-50000.0,30000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000069840126e-06,-2.5022291645296933e-22,303.15,2.749570407718775e-128,5.036778369219766e-05,1.2500346151496637e-67,5.3773144825402955e-130,-5.2826371956409566e-139,-5.988504005175899e-132,3.670961804479167e-77,1.1333033044659332e-136,7.447426978635116e-123,1.0257701534780843e-102,1.0509674356611646e-113,1.678926123073263e-05
1,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,4.556719779968262,9693,0.0005000861330328195,303.1503589774835,1.2972574714389686e-139,0.0,2.0180888542077995e-17,9.134481476285411e+117,NH3,-50000.0,1000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000088741515e-06,8.610870462705795e-22,303.15,3.0969740031870253e-128,5.036778361124255e-05,1.2498660672157894e-67,5.383100944960044e-130,7.711815252340605e-137,3.235006811519492e-129,3.670466825885769e-77,2.5424266521225443e-135,7.509478829251616e-123,1.028044988669229e-102,1.0532981504909489e-113,1.6789261203747415e-05
9,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,3.939239263534546,9722,7.5006057433688e-05,303.15359142460017,1.1393460364640957e-139,0.0,5.059054896430207e-16,2.607255200715038e+119,NH3,-50000.0,10000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000097358498e-06,4.9545476957423273e-23,303.15,2.719988224487104e-128,5.0367783574335754e-05,1.250037251818206e-67,5.4511532677215796e-130,-7.321749293782205e-137,6.836538769663741e-130,3.67096953896182e-77,2.2281059696228318e-135,7.187643945051988e-123,1.0126140644628076e-102,1.0374881770871461e-113,1.6789261191445162e-05
12,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.0919320583343506,6095,3.751675126277124e-05,303.15718663175204,1.0932697252039159e-139,0.0,1.0137044517972743e-15,5.444447674078965e+119,NH3,-50000.0,20000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000139819447e-06,-2.702151627314659e-22,303.15,2.6099891040056493e-128,5.0367783392474216e-05,1.250038827666352e-67,5.410821408222945e-130,-7.22639812714841e-137,-4.687042154242785e-130,3.670974153481463e-77,2.5428382324126035e-135,7.200482095114196e-123,1.0132315078201756e-102,1.0381207874823693e-113,1.6789261130824674e-05
14,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.1086146831512451,3485,2.5001690159372103e-05,303.16078570200534,4.575634550165302e-140,0.0,7.653373097178022e-16,9.821353684457651e+119,NH3,-50000.0,30000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.000000009584394e-06,-1.7045121142093912e-22,303.15,1.0923522532526995e-128,5.0367783580822536e-05,1.2500398933979596e-67,5.78321153684349e-130,-4.774780356035358e-136,-2.232216977146464e-128,3.670977296930167e-77,-2.5457257633651307e-135,8.983847062265353e-123,1.099439466970697e-102,1.1264463811399217e-113,1.678926119360759e-05
16,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.6512994766235352,2691,1.2586257463105795e-05,303.164389063887,2.6261069575047672e-139,0.0,8.220903493810425e-16,1.8381330167386128e+119,NH3,-50000.0,40000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000042346889e-06,-6.703798568209841e-23,303.15,6.269368470977051e-128,5.036778380995201e-05,1.2500360740087247e-67,8.748683225456256e-130,2.8478483344641797e-136,1.5643452006246043e-128,3.670966097275391e-77,-1.661581070967433e-135,1.2729170039060652e-122,1.2519476893180993e-102,1.2827008547316508e-113,1.6789261269984083e-05
15,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.6363818645477295,5116,2.5001690159372103e-05,303.16078578560956,1.1309412213177903e-139,0.0,1.5235422787238383e-15,7.910141874230151e+119,NH3,-50000.0,30000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000378819627e-06,-8.282064376820209e-23,303.15,2.699922978951517e-128,5.036778236882911e-05,1.2500393052719531e-67,5.332140300746109e-130,-5.930654778046542e-138,4.127652489326917e-130,3.670975481453388e-77,1.0151580924079441e-135,7.203137876141843e-123,1.0143103471652992e-102,1.0392261277150476e-113,1.6789260789609835e-05
19,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.9277181625366211,2729,1.008636892642426e-05,303.167996602156,1.1007523089483058e-139,0.0,1.0325156725220803e-15,5.507783284383893e+119,NH3,-50000.0,50000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.00000000214693e-06,2.1785769172740634e-22,303.15,2.627852549408655e-128,5.036778389937138e-05,1.250036950275061e-67,5.983967747943721e-130,-2.0398776915813794e-136,-7.796278138498532e-129,3.670968677113381e-77,1.0237234255450762e-134,9.209399544448705e-123,1.0946386880034885e-102,1.12152767460209e-113,1.678926129979052e-05
17,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.07320237159729,3593,1.874936756432292e-05,303.164389063887,1.0752070178393098e-139,0.0,1.0242201520557142e-15,5.5933374635602276e+119,NH3,-50000.0,40000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.99999983398313e-07,2.560389326864702e-22,303.15,2.5668678038863337e-128,5.036778470238042e-05,1.2500400812195461e-67,5.3945408770035705e-130,-5.541951083847421e-137,-7.243067656895046e-130,3.670977930246539e-77,1.96051419983651e-135,7.153406370338314e-123,1.0119360071385669e-102,1.0367934637886034e-113,1.6789261567460055e-05
20,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.1684119701385498,3544,1.5011776230958204e-05,303.167996602156,1.4272287596272476e-139,0.0,1.2851015745301056e-15,5.287052993898952e+119,NH3,-50000.0,50000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.99999983419256e-07,-2.179588391220063e-22,303.15,3.4072578497484744e-128,5.0367784701483256e-05,1.2500401605054545e-67,5.934001766117763e-130,-4.97073781632595e-137,-2.386845088848027e-129,3.670978163019181e-77,2.254009783145008e-136,9.841436371350593e-123,1.132318053329419e-102,1.1601326055601459e-113,1.6789261567161232e-05
22,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.5701034069061279,2586,5.0865079900940375e-06,303.186143992409,3.938963939583391e-140,0.0,2.1204321761878766e-15,3.1609103393354455e+120,NH3,-50000.0,100000.0,0.5,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.999999997553305e-07,-7.420895532079921e-22,303.15,9.403583731583651e-129,5.036778400180432e-05,1.2500386991726988e-67,5.776273769993575e-130,-5.34879024239371e-136,-2.554035835226848e-128,3.67097382054575e-77,-4.6104850071140396e-135,9.434731780948561e-123,1.1164152460606929e-102,1.1438391576387949e-113,1.6789261333934806e-05
23,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.8426322937011719,3194,7.5023966844350994e-06,303.186143992409,-2.0783336283255958e-142,0.0,2.624477160365972e-15,1e+30,NH3,-50000.0,100000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.000000018807577e-06,-5.108374774538382e-23,303.15,-4.961655775181814e-131,5.0367783185791e-05,1.2500402442318798e-67,5.559133557673771e-130,-6.994799302098398e-136,-3.301882896227962e-128,3.670978298428604e-77,-5.505610856453143e-135,8.904461717811211e-123,1.0966598899600744e-102,1.1235985258839293e-113,1.678926106193016e-05
18,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.0000956058502197,4903,1.874936756432292e-05,303.164389063887,1.152154785465234e-139,0.0,2.0359031390529212e-15,1.0375668321777281e+120,NH3,-50000.0,40000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,9.999999618747145e-07,5.0367406274971716e-23,303.15,2.7505672543050863e-128,5.036778562424274e-05,1.250039731156033e-67,5.395352476847025e-130,-6.844661426018424e-138,-3.428454116632939e-130,3.6709769694076806e-77,1.3195030684175207e-136,7.540024839474594e-123,1.0300495794910876e-102,1.0553519825965366e-113,1.6789261874747437e-05
