ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
7994,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,52,50.158907413482666,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,200000.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8011,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.5039873123168945,9237,0.00025004547763922343,303.38097425361764,-1.7030589790739025e-45,0.0,3.559674452589209e-13,1e+30,NH3,250000.0,1000.0,0.5,9.999999999999999e-06,0.0,303.15,0.0,3.4432956545734404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477652181911468e-05,1.0000000171226056e-05,-1.1261150404331164e-21,303.15,-4.065753614600834e-37,3.44329564723977e-05,-2.498590294584707e-24,-1.947336495747363e-40,-5.475203088880485e-48,7.370864384085735e-58,-1.2540485127630686e-34,-9.649246930207582e-44,3.948622315747593e-34,3.6989561860104135e-30,5.953477459639329e-31,1.1477652157466002e-05
7995,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,52,50.258962869644165,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,200000.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7997,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,52,50.08134865760803,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,200000.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8010,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,4.796037435531616,21636,1.4421582131983026e-06,3943.038100363122,4.468579495495549e-17,0.0,4.782543516229395e-08,62843.33701114349,NH3,200000.0,100000.0,2.0,9.999999999999999e-06,0.0,303.15,0.0,3.4432956545734404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477652181911468e-05,9.999192801429082e-06,-8.978015976826357e-14,303.15000000002965,1.0670531492367358e-08,3.4425290913004464e-05,3.081501828085239e-14,-1.3851782072326078e-23,-8.322609449742083e-19,4.3922418470798575e-13,1.5463036037294665e-24,1.1037060205071156e-13,2.1977523800700396e-11,6.010606316074001e-18,-1.913407536016143e-23,1.1475085730969423e-05
7998,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,52,50.4127140045166,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,200000.0,5000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8014,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.476741313934326,10469,2.8633578734044027e-06,304.3446527710833,-1.5882929258648635e-40,0.0,2.3006580195392114e-12,1e+30,NH3,250000.0,5000.0,0.5,9.999999999999999e-06,0.0,303.15,0.0,3.4432956545734404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477652181911468e-05,1.0000000002808704e-05,4.774538644468731e-22,303.15,-3.791770050244247e-32,3.4432956544531265e-05,-4.265876983677792e-24,5.314545022034992e-47,4.0954920482202953e-57,1.3414441402996055e-65,-2.14105398144414e-34,-2.9703029425069233e-54,1.603536048989379e-34,6.353342497773084e-30,1.0247295775559769e-30,1.1477652181510643e-05
8017,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,3.0139639377593994,15751,2.5143595554058227e-06,305.63255525401775,3.733709359716415e-40,0.0,5.92919038753698e-12,9.324481328250799e+23,NH3,250000.0,10000.0,0.5,9.999999999999999e-06,0.0,303.15,0.0,3.4432956545734404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477652181911468e-05,9.999999994916316e-06,1.215632782219333e-22,303.15,8.913574523604287e-32,3.4432956547911434e-05,1.455653786777811e-25,-1.8336497496243352e-48,2.551468976933133e-56,-6.363558045712245e-65,7.305961583083215e-36,8.543499531531994e-55,9.464462225190152e-34,-2.197061339135805e-31,-3.535698071959322e-32,1.1477652182637592e-05
8020,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,2.7715017795562744,11172,2.149853288813818e-06,308.45230876819096,-7.53732822386263e-40,0.0,1.658646811669848e-11,1e+30,NH3,250000.0,20000.0,0.5,9.999999999999999e-06,0.0,303.15,0.0,3.4432956545734404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477652181911468e-05,9.999999985565892e-06,-5.880867045148334e-22,303.15,-1.7994045745925312e-31,3.4432956551916646e-05,1.1287862518544125e-21,-1.606060333272068e-44,-1.890874647849523e-52,-1.4872815546121271e-59,5.66540551567152e-32,-2.2417698528729653e-51,-8.160148540736244e-30,-1.6451218110721986e-27,-3.135148578201969e-28,1.1477652183972128e-05
8001,9.999999999999999e-06,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,52,50.08911681175232,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,200000.0,10000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
